"C-A-T"	"C-A"	"Season"	"Condition"	"A.exposition"	"Sample"	"n.GC-MS"	"beta.pinene"	"L.alfa.bornyl.acetate"	"beta.Caryophyllene.oxide"	"alfa.Caryophyllene"	"beta.Cubebene"	"alfa.Cubenene"	"delta.Cadinene"
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH1-15"	3	0.375825242718447	0.223592233009709	1.7173786407767	0.242621359223301	0.285436893203883	0.252135922330097	0.518543689320388
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH2-15"	5	3.56153119092628	3.70510396975425	4.69621928166352	0.796597353497164	1.25047258979206	1.00037807183365	2.18601134215501
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH3-15"	6	3.37555555555556	2.11425925925926	5.53972222222222	0.716851851851852	0.358425925925926	0.784907407407407	1.75583333333333
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH4-15"	7	3.10665434380776	1.36312384473198	5.48872458410351	0.98724584103512	0.765341959334566	0.461922365988909	3.92181146025878
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH5-15"	8	1.52165242165242	2.97815764482431	5.10474833808167	0.888793922127255	1.54957264957265	0.967901234567901	2.28015194681861
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH1-16"	9	1.85972093023256	2.57079069767442	6.34037209302326	0.770325581395349	0.606232558139535	0.433023255813954	1.11674418604651
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH2-16"	10	2.32895256916996	3.30701581027668	4.51264822134387	0.711758893280632	0.992588932806324	0.73596837944664	1.36541501976285
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH3-16"	11	0.871722846441948	1.84438202247191	3.037265917603	0.344101123595506	0	0	0.325749063670412
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH4-16"	12	1.11700251889169	1.28979848866499	2.8264483627204	0.413476070528967	0.283879093198992	0.185138539042821	1.30214105793451
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH5-16"	13	1.57551622418879	1.84051130776795	2.41868239921337	0.443264503441495	0.621533923303835	0.486627335299902	1.14670599803343
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD1-15"	14	0.498233170375987	0.498233170375987	1.80840187766099	0.332155446917324	0.202983884227254	0.138398102882218	0.87652131825405
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD2-15"	15	1.48015841584158	2.61812967103162	1.63931523474928	0.461554774832322	0.453596933886937	0.493386138613861	1.17776045991696
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD3-15"	16	1.02121495327103	1.98289719626168	2.35841121495327	0.311401869158878	0.251869158878505	0.151121495327103	0.975420560747664
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD4-15"	17	0.649512670565302	1.16530214424951	2.78430799220273	0.315204678362573	0	0	0.148050682261209
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD5-15"	46	0.223465909090909	0.201988636363636	0.478636363636364	0.127840909090909	0.073125	0.0603409090909091	0.174886363636364
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD1-16"	18	0.230973451327434	0.206194690265487	0.557522123893805	0.111061946902655	0.0579646017699115	0.157079646017699	0.290265486725664
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD2-16"	19	0.197205882352941	0.351617647058823	0.236470588235294	0.0754411764705882	0.0930882352941176	0.0644117647058823	0.262941176470588
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD3-16"	20	0.237696577243293	0.438344125809436	0.497039777983349	0.0711840888066605	0.0711840888066605	0.0470397779833487	0.26059204440333
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD4-16"	21	0.244721960414703	0.625589066918002	0.711687087653158	0.0822808671065033	0	0	0.0292648444863336
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD5-16"	22	0.162901701323251	0.143336483931947	0.400661625708885	0.116115311909263	0.115264650283554	0.0757088846880907	0.182041587901701
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH1-15"	33	0.232023121387283	0.0941618497109827	0.985838150289017	0.116011560693642	0.0686705202312139	0.102485549132948	0.753294797687861
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH2-15"	34	0	0.282743362831858	0.850719026548673	0.110508849557522	0	0.0642146017699115	0.0756637168141593
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH3-15"	35	0.36364161849711	0.351156069364162	0.573815028901734	0.0853179190751445	0.093121387283237	0.071271676300578	0.12485549132948
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH4-15"	36	0.255052264808362	0.214285714285714	0.538850174216028	0.0726480836236934	0.0538327526132404	0.0339721254355401	0.671080139372822
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH5-15"	45	0.154002320185615	0.351334106728538	0.490197215777262	0.0882250580046404	0.121113689095128	0.0798723897911833	0.140429234338747
